cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001682639,"EYENOVIA, INC.",,2018-01-25,,,,6.8,2,,1,2.0,1,1.0,False,8,8.0,1,actively_filing,,,2834.0,Pharmaceutical Preparations
0001615999,Kannalife Inc,,2014-08-21,,,,,0,,0,,0,,False,0,,0,stalled_filing,acquisition,,2834.0,Pharmaceutical Preparations
0001626199,"ALPINE IMMUNE SCIENCES, INC.",,2015-06-17,,,,8.0,1,,0,,0,,False,0,,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001561551,"Enumeral Biomedical Holdings, Inc.",,2014-11-12,,,,,0,,0,,0,,False,0,,0,stalled_filing,bankruptcy,,2834.0,Pharmaceutical Preparations
0001517681,"Propanc Biopharma, Inc.",,2011-12-16,,,,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001703647,"Frequency Therapeutics, Inc.",,2019-10-04,,,,372.0,3,,2,2.0,2,1.0,False,10,5.0,435,actively_filing,failure,reverse_merger,2834.0,Pharmaceutical Preparations
0001722964,"Y-mAbs Therapeutics, Inc.",,2018-09-24,,,,,0,,4,2.0,6,0.67,True,0,0.0,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001544116,"Durata Therapeutics, Inc.",,2012-07-20,,,,55.0,1,,0,,0,,False,0,,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001693664,"ARMO BioSciences, Inc.",,2018-01-29,,,,30.0,1,,0,,0,,False,9,inf,10,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001733413,"TFF Pharmaceuticals, Inc.",,2019-10-25,,,,26.7,1,,0,,0,,False,0,,0,deregistered_or_delisted,likely_failure_delisted,,2834.0,Pharmaceutical Preparations
0001510487,Principia Biopharma Inc.,,2018-09-17,,,,105.5,2,,3,2.0,4,0.75,True,29,9.667,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001688765,"Braeburn Pharmaceuticals, Inc.",,2016-12-30,,,,,0,,8,3.0,7,1.14,False,0,0.0,6,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001594864,"Juno Therapeutics, Inc.",,2014-12-19,,,,133.7,2,,0,,0,,False,1,inf,779,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001586105,Egalet Corp,,2014-02-07,,,,,0,,17,3.0,10,1.7,True,14,0.824,1,stalled_filing,bankruptcy,,2834.0,Pharmaceutical Preparations
0001552899,"AUDEO ONCOLOGY, INC.",,2012-07-06,,,,,0,,0,,0,,False,0,,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
