company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
"Kadmon Holdings, Inc.",1557142,stalled_filing,2021-11-04,2021-11-19,2020-10-23
"Zander Therapeutics, Inc",1718644,stalled_filing,2019-10-25,,
Aralez Pharmaceuticals Ltd,1648419,stalled_filing,,,
"Amneal Pharmaceuticals, Inc.",1723128,actively_filing,2026-05-07,2023-11-20,2023-11-08
"Nemus Bioscience, Inc.",1516551,actively_filing,2026-05-11,,
"RELMADA THERAPEUTICS, INC.",1553643,actively_filing,2026-05-12,,
PREMIER BIOMEDICAL INC,1515740,deregistered_or_delisted,2020-06-01,2021-06-15,
"Cell Source, Inc.",1569340,actively_filing,2026-05-14,2025-07-16,
"LEAP THERAPEUTICS, INC.",1509745,actively_filing,2026-05-14,,
"Evofem Biosciences, Inc.",1618835,actively_filing,2026-05-15,,2022-10-27
"NANOANTIBIOTICS, INC.",1580149,actively_filing,2026-05-11,,
"EYENOVIA, INC.",1682639,actively_filing,2026-05-15,,
Kannalife Inc,1615999,stalled_filing,2022-05-23,,
"ALPINE IMMUNE SCIENCES, INC.",1626199,deregistered_or_delisted,2024-05-09,2024-05-30,2024-05-20
"Enumeral Biomedical Holdings, Inc.",1561551,stalled_filing,2017-11-14,,
"Propanc Biopharma, Inc.",1517681,actively_filing,2026-05-14,,
"Frequency Therapeutics, Inc.",1703647,actively_filing,2026-05-07,,
"Y-mAbs Therapeutics, Inc.",1722964,deregistered_or_delisted,2025-08-08,2025-09-26,2025-09-16
"Durata Therapeutics, Inc.",1544116,deregistered_or_delisted,2014-11-07,2014-11-28,2014-11-17
"ARMO BioSciences, Inc.",1693664,deregistered_or_delisted,2018-05-15,2018-07-02,2018-06-22
"TFF Pharmaceuticals, Inc.",1733413,deregistered_or_delisted,2024-11-20,,2025-03-06
Principia Biopharma Inc.,1510487,deregistered_or_delisted,2020-08-06,2020-10-08,2020-09-28
"Braeburn Pharmaceuticals, Inc.",1688765,stalled_filing,,,
"Juno Therapeutics, Inc.",1594864,deregistered_or_delisted,2018-03-01,2018-03-16,2018-03-06
Egalet Corp,1586105,stalled_filing,2020-05-14,2020-06-01,2019-01-08
"AUDEO ONCOLOGY, INC.",1552899,stalled_filing,,,
"Inhibrx, Inc.",1739614,deregistered_or_delisted,2024-05-09,2024-06-10,2024-05-30
"Clearside Biomedical, Inc.",1539029,deregistered_or_delisted,2025-11-14,2026-01-07,2025-12-08
"BioCardia, Inc.",1635886,stalled_filing,,,
"G1 Therapeutics, Inc.",1560241,deregistered_or_delisted,2024-08-08,2024-09-30,2024-09-18
scPharmaceuticals Inc.,1604950,deregistered_or_delisted,2025-08-07,2025-10-17,2025-10-07
"Flex Pharma, Inc.",1615219,actively_filing,2026-05-08,,
MultiVir Inc.,1613490,stalled_filing,,,
FIBROGEN INC,921299,actively_filing,2026-05-12,,
Allakos Inc.,1564824,deregistered_or_delisted,2025-05-07,2025-05-27,2025-05-15
"Sage Therapeutics, Inc.",1597553,deregistered_or_delisted,2025-07-30,2025-08-11,2025-07-31
"Evelo Biosciences, Inc.",1694665,deregistered_or_delisted,2023-11-09,2024-01-26,2023-12-27
"Unum Therapeutics, Inc.",1622229,actively_filing,2026-05-05,,
"AveXis, Inc.",1652923,deregistered_or_delisted,2018-05-04,2018-06-04,2018-05-15
"Recro Pharma, Inc.",1588972,deregistered_or_delisted,2024-04-05,2024-04-18,2024-04-08
Abpro Corp,1670356,deregistered_or_delisted,,2018-05-17,
"Global Blood Therapeutics, Inc.",1629137,deregistered_or_delisted,2022-08-08,2022-10-17,2022-10-05
"Dance Biopharm, Inc.",1596126,stalled_filing,,,
"Surface Oncology, Inc.",1718108,deregistered_or_delisted,2023-08-02,2023-09-18,2023-09-08
